add-none,1,100,200,131144,655,0
add-none,1,1000,2000,175692,87,0
add-none,1,10000,20000,334800,16,0
add-none,1,100000,200000,1901358,9,0
add-none,2,100,400,155219,388,0
add-none,2,1000,4000,243465,60,-440
add-none,2,10000,40000,1225061,30,139
add-none,2,100000,400000,9349390,23,-31884
add-none,4,100,800,190005,237,0
add-none,4,1000,8000,191986,23,104
add-none,4,10000,80000,2169774,27,-2076
add-none,4,100000,800000,22314687,27,-30644
add-none,8,100,1600,316387,197,0
add-none,8,1000,16000,562644,35,23
add-none,8,10000,160000,4331864,27,76
add-none,8,100000,1600000,43533127,27,-20585
add-none,12,100,2400,419887,174,0
add-none,12,1000,24000,832145,34,-323
add-none,12,10000,240000,6374834,26,-10198
add-none,12,100000,2400000,66932753,27,-66198
add-yield-none,1,10,20,148575,7428,0
add-yield-none,1,20,40,237876,5946,0
add-yield-none,1,40,80,212324,2654,0
add-yield-none,1,80,160,282309,1764,0
add-yield-none,1,100,200,321665,1608,0
add-yield-none,1,1000,2000,1833424,916,0
add-yield-none,1,10000,20000,16566506,828,0
add-yield-none,1,100000,200000,161320160,806,0
add-yield-none,2,10,40,183387,4584,0
add-yield-none,2,20,80,198250,2478,16
add-yield-none,2,40,160,232105,1450,20
add-yield-none,2,80,320,296099,925,27
add-yield-none,2,100,400,343106,857,20
add-yield-none,2,1000,4000,2058636,514,15
add-yield-none,2,10000,40000,19048224,476,-16
add-yield-none,2,100000,400000,187771915,469,51
add-yield-none,4,10,80,210355,2629,7
add-yield-none,4,20,160,227106,1419,20
add-yield-none,4,40,320,278637,870,72
add-yield-none,4,80,640,330987,517,51
add-yield-none,4,100,800,378612,473,80
add-yield-none,4,1000,8000,2121493,265,-52
add-yield-none,4,10000,80000,19309548,241,98
add-yield-none,4,100000,800000,185650122,232,-177
add-yield-none,8,10,160,346123,2163,0
add-yield-none,8,20,320,365641,1142,39
add-yield-none,8,40,640,381046,595,81
add-yield-none,8,80,1280,459055,358,-10
add-yield-none,8,100,1600,502594,314,25
add-yield-none,8,1000,16000,2424722,151,-1
